Sector,Code
Food & forestry,foo
Fuel transformation & transportation,ftr
Mining & Chemicals,mch
Other manufacturing,omn
Cement,cem
Iron and steel,irn
Non-ferrous metals,nfm
Machinery,mac
Services (public & private),srv
Electricity production,pow
Construction,cst
Rail,ral
Road,roa
Domestic navigation,nav
Domestic aviation,avi
Other,oen
Residential sector,res
