"","Country","CountryCode","Total","coal","nat_gas","oil","nuclear","wind","solar","hydro","other_ren","biomass","dec_ren"
"22","Bermuda","BMU",0.586,0,0,0.586,0,0,0,0,0,0,0
"23","Bhutan","BTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24","Bolivia","BOL",8.923,0,5.303,0.081,0,0.065,0.175,3.074,0,0.225,0
"25","Bosnia and Herzegovina","BIH",16.105,9.861,0.009,0.044,0,0.241,0.029,5.913,0.007,0.001,0
"26","Botswana","BWA",2.989,2.976,0,0.008,0,0,0.004,0,0,0,0
"27","Brazil","BRA",599.97,31.332,32.108,9.929,15.692,54.051,6.447,392.082,4.024,51.618,2.688
"28","British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Brunei Darussalam","BRN",5.245,0.3,4.863,0.079,0,0,0.003,0,0,0,0
"30","Bulgaria","BGR",42.813,15.435,1.977,0.379,15.957,1.26,1.384,2.86,0.275,1.487,1.798
"31","Burkina Faso","BFA",1.813,0,0,1.533,0,0,0.094,0.137,0,0.049,0
"32","Burundi","BDI",0.254,0,0,0.123,0,0,0,0.132,0,0,0
"33","Cabo Verde","CPV",0.407,0,0,0.34,0,0.067,0,0,0,0,0
"34","Cambodia","KHM",8.787,3.806,0,0.753,0,0,0.116,4.022,0,0.089,0
"35","Cameroon","CMR",8.389,0,2.113,1.001,0,0,0.019,5.215,0,0.041,0
"36","Canada","CAN",625.65,32.417,56.896,5.496,99.829,31.971,4.007,379.244,1.299,9.599,4.894
"37","Cayman Islands","CYM",0.623,0,0,0.569,0,0.011,0.002,0.035,0,0.006,0
"38","Central African Republic","CAF",0.146,0,0,0.034,0,0,0,0.113,0,0,0
"39","Chad","TCD",0.321,0,0,0.321,0,0,0,0,0,0,0
"40","Channel Islands","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Chile","CHL",77.331,29.565,9.349,1.094,0,4.55,5.985,21.333,0.254,4.978,0.223
"42","China","CHN",8485.342,5224.895,157.129,11.176,350.675,467.348,273.664,1296.92,10.248,111.77,581.517
"43","Colombia","COL",79.74,5.926,14.276,2.703,0,0.062,0.136,54.945,0,1.558,0.133
"44","Comoros","COM",0.089,0,0,0.084,0,0,0,0.005,0,0,0
"45","Congo, Democratic Republic of the","COD",11.02,0,0,0.005,0,0,0.028,10.96,0,0.027,0
"46","Congo, Republic of","COG",3.787,0,2.724,0.186,0,0,0.001,0.875,0,0,0
"47","Costa Rica","CRI",10.892,0,0,0.09,0,1.681,0.052,7.481,1.427,0.159,0.001
"48","Côte d'Ivoire","CIV",10.228,0,6.741,0.008,0,0,0.018,3.398,0,0.063,0
"49","Croatia","HRV",12.643,1.704,2.158,0.037,0,1.418,0.081,5.748,0.48,0.464,0.553
"50","Cuba","CUB",18.939,0,1.46,16.622,0,0.02,0.219,0.121,0,0.497,0
"51","Curaçao","CUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"52","Cyprus","CYP",6.068,0,0,4.336,0,0.222,0.204,0,0.054,0,1.251
"53","Czech Republic","CZE",83.045,34.987,4.732,0.111,28.61,0.657,2.177,1.924,2.571,2.265,5.012
"54","Denmark","DNK",31.75,3.502,1.263,0.228,0,15.115,0.905,0.016,2.253,4.099,4.369
"55","Djibouti","DJI",0.061,0,0,0.061,0,0,0,0,0,0,0
"56","Dominica","DMA",0.088,0,0,0.069,0,0,0,0.019,0,0,0
"57","Dominican Republic","DOM",20.974,2.253,5.743,10.789,0,0.58,0.322,0.979,0,0.213,0.096
"58","Ecuador","ECU",29.97,0,0.628,5.308,0,0.08,0.035,23.471,0.039,0.388,0.023
"59","Egypt","EGY",185.672,0,142.464,25.191,0,3.581,1.433,13.002,0,0,0
"60","El Salvador","SLV",5.81,0,0,1.681,0,0,0.486,1.464,1.426,0.753,0
"61","Equatorial Guinea","GNQ",1.888,0,1.238,0.009,0,0,0,0.641,0,0,0
"62","Eritrea","ERI",0.467,0,0,0.443,0,0.002,0.021,0,0,0,0
"63","Estonia","EST",7.179,0.862,0.027,4.01,0,0.633,0.068,0.018,0.155,1.169,0.236
"64","Ethiopia","ETH",14.723,0,0,0.005,0,0.508,0.017,14.193,0,0,0
"65","Faroe Islands","FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Fiji","FJI",1.062,0,0,0.495,0,0.003,0,0.563,0,0,0
"67","Finland","FIN",69.029,6.772,4.406,0.295,23.081,5.781,0.142,12.158,1.432,11.89,3.073
"68","France","FRA",540.309,5.13,20,5.651,381.964,32.978,11.652,55.194,7.438,3.711,16.591
"69","French Polynesia","PYF",0.608,0,0,0.556,0,0.01,0.002,0.034,0,0.006,0
"70","Gabon","GAB",3.074,0,1.719,0.191,0,0,0.002,1.149,0,0.013,0
"71","Gambia, The","GMB",0.305,0,0,0.305,0,0,0,0,0,0,0
"72","Georgia","GEO",11.566,0,2.445,0,0,0.082,0,8.806,0,0,0.234
"73","Germany","DEU",621.474,165.556,85.851,4.577,72.074,119.924,44.347,19.19,43.841,11.025,55.091
"74","Ghana","GHA",17.132,0,6.947,2.783,0,0,0.051,7.35,0,0,0
"75","Gibraltar","GIB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Greece","GRC",43.886,11.969,9.132,5.084,0,6.592,4.033,3.709,0.61,0.023,2.734
"77","Greenland","GRL",0.442,0,0,0.088,0,0,0,0.354,0,0,0
"78","Grenada","GRD",0.223,0,0,0.223,0,0,0,0,0,0,0
"79","Guam","GUM",1.585,0,0,1.449,0,0.027,0.004,0.09,0.001,0.015,0
"80","Guatemala","GTM",13.204,3.809,0,1.561,0,0.315,0.221,4.348,0.319,2.631,0
"81","Guinea","GIN",4.845,0,0,3.354,0,0,0,1.491,0,0,0
"82","Guinea-Bissau","GNB",0.039,0,0,0.039,0,0,0,0,0,0,0
"83","Guyana","GUY",1.733,0,0.361,1.324,0,0,0.038,0,0,0.01,0
"84","Haiti","HTI",1.042,0,0,0.84,0,0,0.003,0.198,0,0,0
"85","Honduras","HND",10.063,0,0,4.756,0,0.776,1.062,2.35,0.282,0.837,0
"86","Hong Kong SAR","HKG",27.52,21.586,5.633,0.157,0,0.001,0.006,0,0.102,0,0.036
"87","Hungary","HUN",36.785,4.54,7.459,0.069,16.023,0.712,1.466,0.218,0.709,1.737,3.852
"88","Iceland","ISL",26.986,0,0,0.003,0,0.006,0,13.111,5.786,0,8.081
"89","India","IND",1607.956,1086.106,114.877,6.043,46.903,70.072,50.821,176.151,2.698,30.15,24.137
"90","Indonesia","IDN",266.24,158.231,51.785,9.4,0,0.452,0.111,20.223,13.767,12.131,0.14
"91","Iran","IRN",325.019,0.546,273.702,27.17,6.926,0.59,0.492,15.571,0.021,0,0
"92","Iraq","IRQ",90.055,0,49.743,38.52,0,0,0.054,1.738,0,0,0
"93","Ireland","IRL",30.288,3.168,14.216,0.267,0,9.485,0.02,0.857,0.764,0.33,1.181
"94","Isle of Man","IMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Israel","ISR",73.78,12.015,53.607,0.812,0,0.178,3.195,0,0,0,3.973
"96","Italy","ITA",273.257,28.188,113.869,9.714,0,19.212,22.607,44.975,18.354,8.531,7.807
"97","Jamaica","JAM",4.046,0,0.697,2.873,0,0.259,0.044,0.151,0,0.023,0
"98","Japan","JPN",957.143,407.07,240.656,34.398,60.858,7.264,65.507,76.945,21.387,23.82,19.238
"99","Jordan","JOR",22.867,0,16.513,0.91,0,0.872,2.087,0.019,0.004,0,2.462
"100","Kazakhstan","KAZ",103.771,65.921,26.296,0.153,0,0.866,1.094,9.439,0.003,0,0
"101","Kenya","KEN",10.844,0,0,1.216,0,1.157,0.11,3.271,4.924,0.167,0
"102","Kiribati","KIR",0.031,0,0,0.031,0,0,0,0,0,0,0
"103","Korea, Dem. People's Rep.","PRK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Korea","KIR",591.169,227.651,151.702,9.052,141.309,2.68,12.642,2.738,2.017,7.458,33.919
"105","Kosovo","XKX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004
"106","Kuwait","KWT",71.553,0,43.281,28.134,0,0.035,0.102,0,0,0,0
"107","Kyrgyz Republic","KGZ",15.239,0.915,0.104,0.035,0,0,0,14.185,0,0,0
"108","Lao P.D.R.","LAO",44.689,19.895,0,0,0,0,0.122,24.615,0,0.058,0
"109","Latvia","LVA",6.768,0.001,2.942,0,0,0.146,0.003,2.042,0.337,0.549,0.748
"110","Lebanon","LBN",21.26,0,0,19.67,0,0.006,0.085,0.941,0.033,0,0.525
"111","Lesotho","LSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"112","Liberia","LBR",0.527,0,0,0.488,0,0,0,0.039,0,0,0
"113","Libya","LBY",15.375,0,7.179,8.189,0,0,0.006,0,0,0,0
"114","Liechtenstein","LIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Lithuania","LTU",3.335,0,0.519,0.067,0,1.568,0.106,0.347,0.286,0.327,0.115
"116","Luxembourg","LUX",1.202,0,0.147,0,0,0.264,0.123,0.102,0.186,0.15,0.23
"117","Macao SAR","MAC",0.837,0,0,0.837,0,0,0,0,0,0,0
"118","Macedonia, FYR","MKD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Madagascar","MDG",2.177,0.092,0,1.084,0,0,0.034,0.941,0,0.025,0
"120","Malawi","MWI",1.804,0,0,0.204,0,0,0,1.6,0,0,0
"121","Malaysia","MYS",175.396,71.08,74.087,0.961,0,0,1.032,26.835,0.53,0.87,0
"122","Maldives","MDV",0.533,0,0,0.533,0,0,0,0,0,0,0
"123","Mali","MLI",4.579,0,0,2.507,0,0,0.347,1.535,0,0.19,0
"124","Malta","MLT",2.057,0,1.751,0.029,0,0,0.205,0,0.006,0,0.065
"125","Marshall Islands","MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Mauritania","MRT",1.6,0,0,1.381,0,0.109,0.109,0,0,0,0
"127","Mauritius","MUS",7.128,3.605,0,2.474,0,0.199,0.573,0.182,0,0.094,0
