"CPAT Code","Year","CountryName","FuelType","ely","pow","rod","ral","avi","nav","res","foo","srv","mch","irn","nfm","mac","cem","omn","cst","ftr","oen","neu","wav"
"alb.mit.enc.die",2019,"Albania","die",0,0,564.8,2,0,29.9,0,85.9,0,1,1.9,0,0,2,2,1,0,0,NA,NA
"alb.mit.enc.ker",2019,"Albania","ker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.lpg",2019,"Albania","lpg",0,0,12,0,0,0,110.1,8,57.1,2,0,0,0,0,2.1,0,0,0,NA,NA
"alb.mit.enc.jfu",2019,"Albania","jfu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.wnd",2019,"Albania","wnd",2.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.sol",2019,"Albania","sol",22.1,2,0,0,0,0,7.2,0.9,4.5,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.hyd",2019,"Albania","hyd",5520.8,474.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.ore",2019,"Albania","ore",0,0,0,0,0,0,0.8,0.1,0.5,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.nuc",2019,"Albania","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.bio",2019,"Albania","bio",0,0,119,0,0,0,119.3,14.7,19.4,0,0,0,0,0,2.7,0,2,0,NA,NA
"alb.mit.enc.bgs",2019,"Albania","bgs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.bdi",2019,"Albania","bdi",0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.obf",2019,"Albania","obf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"alb.mit.enc.heat",2019,"Albania","heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.ele",2019,"Algeria","ecy",0,0,0,101.8,0,0,2253.4,294.5,285.5,146.4,45.4,0,0,398.4,1051.1,46,1424.7,605.7,NA,NA
"dza.mit.enc.coa",2019,"Algeria","coa",0,0,0,0,0,0,0,0,0,0,88.6,0,0,0,0,0,229.6,0,NA,NA
"dza.mit.enc.nga",2019,"Algeria","nga",79673.7,16424.1,0,0,0,0,9186.3,512.3,303.4,57.4,714.7,0,0,3191.9,179.6,97.8,6659.6,708.9,NA,NA
"dza.mit.enc.oop",2019,"Algeria","oop",36.9,22.3,0,101.8,0,117,0,0,0,0,0,0,0,0,2,0,337.9,0,NA,NA
"dza.mit.enc.gso",2019,"Algeria","gso",0,0,4150.6,0,0,0,0,0,0,0,0.9,0,0,0,0.1,0,0,45.9,NA,NA
"dza.mit.enc.die",2019,"Algeria","die",297,200.7,9136.9,36.4,0,48.6,0,17,0,5,50.4,0,0,11.8,99.1,359.4,0,1099.1,NA,NA
"dza.mit.enc.ker",2019,"Algeria","ker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,4.1,0,0,NA,NA
"dza.mit.enc.lpg",2019,"Algeria","lpg",0,0,990.2,0,0,0,1668.1,24.7,0,0,0,0,0,0,70.1,8.2,0,54,NA,NA
"dza.mit.enc.jfu",2019,"Algeria","jfu",0,0,0,0,100.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.wnd",2019,"Algeria","wnd",10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.sol",2019,"Algeria","sol",671.5,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.hyd",2019,"Algeria","hyd",148.4,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.ore",2019,"Algeria","ore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"dza.mit.enc.nuc",2019,"Algeria","nuc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
