CPAT Code,Year,CountryName,FuelType,ely,pow,rod,ral,avi,nav,res,foo,srv,mch,irn,nfm,mac,cem,omn,cst,ftr,oen,neu,wav
ago.mit.enc.bgs,2019,Angola,bgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago.mit.enc.bdi,2019,Angola,bdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago.mit.enc.obf,2019,Angola,obf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ago.mit.enc.heat,2019,Angola,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.ele,2019,Antigua and Barbuda,ecy,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0.9,5.4,0,0
atg.mit.enc.coa,2019,Antigua and Barbuda,coa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.nga,2019,Antigua and Barbuda,nga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0
atg.mit.enc.oop,2019,Antigua and Barbuda,oop,62.3,4.9,17,0,0,0,5,0,2,0,0,0,0,0,0,0,0.2,10,4.5,0
atg.mit.enc.gso,2019,Antigua and Barbuda,gso,0,0,44,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.die,2019,Antigua and Barbuda,die,192.6,16.2,101,0,0,15,0,0,1,0,0,0,0,0,0,0,0,8,0,0
atg.mit.enc.ker,2019,Antigua and Barbuda,ker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.lpg,2019,Antigua and Barbuda,lpg,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.jfu,2019,Antigua and Barbuda,jfu,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.wnd,2019,Antigua and Barbuda,wnd,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.sol,2019,Antigua and Barbuda,sol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.hyd,2019,Antigua and Barbuda,hyd,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.ore,2019,Antigua and Barbuda,ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.nuc,2019,Antigua and Barbuda,nuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.bio,2019,Antigua and Barbuda,bio,3,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,5,0,0
atg.mit.enc.bgs,2019,Antigua and Barbuda,bgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.bdi,2019,Antigua and Barbuda,bdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.obf,2019,Antigua and Barbuda,obf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atg.mit.enc.heat,2019,Antigua and Barbuda,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.ele,2019,Argentina,ecy,0,0,0,45.4,0,0,3713.1,1180.2,2677.9,1038.9,508.7,42.5,216.3,399,598.7,0,1872.3,0,0,0
arg.mit.enc.coa,2019,Argentina,coa,1260.4,307.3,0,0,0,0,0,0,0,0,287.4,0,0,0,43.1,0,48.3,0,32.1,0
arg.mit.enc.nga,2019,Argentina,nga,91004.2,14956.3,2043.4,0,0,0,8474.3,1492.2,1208.4,461.9,802.8,21.8,56.4,1119.8,2899.9,0,8786.9,0.1,614.8,0
arg.mit.enc.oop,2019,Argentina,oop,1648.9,438.5,0,0,0,72.2,0,100.7,52.2,0,0,0,0,0,476.8,0,1053.5,0,2610.9,0
arg.mit.enc.gso,2019,Argentina,gso,0,0,6176.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.die,2019,Argentina,die,1797.9,375.4,6478.4,0,0,237.9,0,3256.4,101.8,0,0,0,0,0,101.8,0,0,0,0,0
arg.mit.enc.ker,2019,Argentina,ker,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.lpg,2019,Argentina,lpg,0,0,0,0,0,0,1191.6,82.8,198.6,0,0,0,0,0,116,0,0,-0.1,59.4,0
arg.mit.enc.jfu,2019,Argentina,jfu,0,0,0,0,621.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.wnd,2019,Argentina,wnd,4996.9,429.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.sol,2019,Argentina,sol,799.9,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.hyd,2019,Argentina,hyd,27509.6,2365.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.ore,2019,Argentina,ore,255.6,68.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.nuc,2019,Argentina,nuc,8478.1,2209.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.bio,2019,Argentina,bio,1394.3,744.1,1550.3,0,0,0,252.1,0,152.8,0,0,0,0,0,1013.3,0,159.3,0.1,0,0
arg.mit.enc.bgs,2019,Argentina,bgs,0,0,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.bdi,2019,Argentina,bdi,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.obf,2019,Argentina,obf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arg.mit.enc.heat,2019,Argentina,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.ele,2019,Armenia,ecy,0,0,0.6,6,0,0,167.4,32.2,18.7,66.2,6,1.9,2.1,11.4,7.3,3.1,68.3,144.3,0,0
arm.mit.enc.coa,2019,Armenia,coa,0,0,0,0,0,0,0.8,0,1.8,0,0,0,0,0,0,0,0,0,0.1,0
arm.mit.enc.nga,2019,Armenia,nga,3046.9,576.2,480.8,0,0,0,557,117.4,43.4,10.7,13.9,0.1,0.9,69.8,5.7,3.9,89.3,156,0,0
arm.mit.enc.oop,2019,Armenia,oop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,10,0,39.2,0
arm.mit.enc.gso,2019,Armenia,gso,0,0,184.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.die,2019,Armenia,die,0,0,103,0,0,0,0.4,15.7,0,11,0,0.5,0,0.4,0,0.7,0,0,1,0
arm.mit.enc.ker,2019,Armenia,ker,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.lpg,2019,Armenia,lpg,0,0,28.4,0,0,0,0.4,0,5.1,0,0,0,0,0,0,0.1,0,0.1,0,0
arm.mit.enc.jfu,2019,Armenia,jfu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.wnd,2019,Armenia,wnd,3.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.sol,2019,Armenia,sol,60.8,5.2,0,0,0,0,3.8,0,3.8,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.hyd,2019,Armenia,hyd,2370.9,203.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.ore,2019,Armenia,ore,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0
arm.mit.enc.nuc,2019,Armenia,nuc,2197.8,644.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.bio,2019,Armenia,bio,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.bgs,2019,Armenia,bgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.bdi,2019,Armenia,bdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.obf,2019,Armenia,obf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm.mit.enc.heat,2019,Armenia,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.ele,2019,Aruba,ecy,0,0,0,0,0,0,27,1,28,0,0,0,0,0,0,1,2.7,17.1,0,0
abw.mit.enc.coa,2019,Aruba,coa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.nga,2019,Aruba,nga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,0,0,0
abw.mit.enc.oop,2019,Aruba,oop,202.9,17.1,26,0,0,0,8,0,4,0,0,0,0,0,0,0,3.8,15,7.2,0
abw.mit.enc.gso,2019,Aruba,gso,0,0,70,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.die,2019,Aruba,die,629.1,54,146,0,0,22,0,0,1,0,0,0,0,0,0,0,0,11,0,0
abw.mit.enc.ker,2019,Aruba,ker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.lpg,2019,Aruba,lpg,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.jfu,2019,Aruba,jfu,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.wnd,2019,Aruba,wnd,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.sol,2019,Aruba,sol,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.hyd,2019,Aruba,hyd,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.ore,2019,Aruba,ore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.nuc,2019,Aruba,nuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.bio,2019,Aruba,bio,8,1,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,10,0,0
abw.mit.enc.bgs,2019,Aruba,bgs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.bdi,2019,Aruba,bdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.obf,2019,Aruba,obf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw.mit.enc.heat,2019,Aruba,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aus.mit.enc.ele,2019,Australia,ecy,0,0,2.1,278.6,0,0,5050.2,772.7,6129.9,2111.8,297.6,277.5,115.8,276.7,358.9,20.8,3784.6,0,0,0
aus.mit.enc.coa,2019,Australia,coa,154304,36579.8,0,0,0,0,0.6,181.1,0.8,285.2,270.9,154.8,0,461.3,253.7,0,2076.4,-0.1,0,0
aus.mit.enc.nga,2019,Australia,nga,52775,12206.3,74.7,0,0,0,3628.1,787.1,1284.1,918.4,198.8,268.6,12,1102.8,341.2,60.9,6501.3,1.5,1017.1,0
aus.mit.enc.oop,2019,Australia,oop,991.8,234.5,0,0,0,137.3,0,60.8,5.3,80.7,6.9,21.8,0,44.8,61.9,9.1,760,0.1,3534.4,0
aus.mit.enc.gso,2019,Australia,gso,0,0,13527.1,1.1,0,268.6,0,150.1,0,0.2,0,0,0,0,0,1.1,0,0.7,0,0
aus.mit.enc.die,2019,Australia,die,3931.2,919.4,13748.9,1159.3,0,371.1,0,1954.9,658.1,2676.6,13.2,4.7,11.8,25.1,6.9,440.1,0,17.1,0,0
