Code,Level,Item Code,CPAT World Code,CPAT Technology,CapacityFactor,CapEx.USD_kW,Efficiency.NCV,OpexFixed.USD_kW_y,OpexVariable.USD_kWh,WACC
mrt.mpp.oil,Country,mpp,mrt,oil,,2620.0000000,,,,
usa.mpp.oil,Country,mpp,usa,oil,0.1340000,687.7709037,,53.0006084,0.0116921,0.0586688
cri.mpp.ore,Country,mpp,cri,ore,,6061.8181818,,11.3383946,0.0090393,
deu.mpp.ore,Country,mpp,deu,ore,,,,64.8744818,0.0000000,0.0549906
idn.mpp.ore,Country,mpp,idn,ore,,6823.5294118,,63.6251950,0.0088428,0.1067063
isl.mpp.ore,Country,mpp,isl,ore,,,,11.3629579,0.0096288,0.0772349
ken.mpp.ore,Country,mpp,ken,ore,,2518.7961456,,11.8807511,0.0095305,0.1489149
mys.mpp.ore,Country,mpp,mys,ore,,,,15.0602177,0.0118886,0.0857063
phl.mpp.ore,Country,mpp,phl,ore,,,,15.0965713,0.0107096,0.0912188
tha.mpp.ore,Country,mpp,tha,ore,,,,12.9153550,0.0103166,0.0801938
tur.mpp.ore,Country,mpp,tur,ore,,,,18.3074789,0.0000000,0.0816701
usa.mpp.ore,Country,mpp,usa,ore,0.9000000,6662.4168217,,16.7030077,0.0000000,
vnm.mpp.ore,Country,mpp,vnm,ore,,,,12.4250726,0.0000000,0.0990000
are.mpp.sol,Country,mpp,are,sol,,1360.0000000,,,,0.0644831
arg.mpp.sol,Country,mpp,arg,sol,,1225.1042016,,13.7229946,0.0000000,0.1500000
aus.mpp.sol,Country,mpp,aus,sol,,1388.8986422,,13.8114223,0.0000000,0.0644831
bol.mpp.sol,Country,mpp,bol,sol,,840.0000000,,17.1942726,0.0000000,
bra.mpp.sol,Country,mpp,bra,sol,,1100.1365157,,6.6762904,0.0000000,0.1188600
can.mpp.sol,Country,mpp,can,sol,,1322.5322781,,11.6950530,0.0000000,0.0515051
chl.mpp.sol,Country,mpp,chl,sol,,1785.9187437,,20.6331271,0.0000000,0.0704214
chn.mpp.sol,Country,mpp,chn,sol,,723.0625368,,19.6505972,0.0000000,0.0713475
deu.mpp.sol,Country,mpp,deu,sol,,846.6438687,,,,0.0238350
dom.mpp.sol,Country,mpp,dom,sol,,,,11.6950530,0.0000000,0.0945000
ecu.mpp.sol,Country,mpp,ecu,sol,,,,11.6950530,0.0000000,0.0754751
egy.mpp.sol,Country,mpp,egy,sol,,1153.8461538,,11.1644868,0.0000000,
esp.mpp.sol,Country,mpp,esp,sol,,761.6362123,,23.5807167,0.0000000,0.0445856
fra.mpp.sol,Country,mpp,fra,sol,,922.2457264,,17.8879387,0.0000000,0.0277200
gbr.mpp.sol,Country,mpp,gbr,sol,,958.5549100,,6.1604622,0.0000000,0.0443100
gtm.mpp.sol,Country,mpp,gtm,sol,,,,,,0.0810758
idn.mpp.sol,Country,mpp,idn,sol,,1053.8282220,,17.9616284,0.0000000,0.1144238
ind.mpp.sol,Country,mpp,ind,sol,,562.7024376,,11.6950530,0.0000000,0.1083600
irn.mpp.sol,Country,mpp,irn,sol,,1239.5018194,,,,
isr.mpp.sol,Country,mpp,isr,sol,,,,,,0.0476700
ita.mpp.sol,Country,mpp,ita,sol,,782.0244969,,40.6138544,0.0000000,0.0415538
jam.mpp.sol,Country,mpp,jam,sol,,1351.3513514,,,,
jor.mpp.sol,Country,mpp,jor,sol,,1413.9150402,,,,
jpn.mpp.sol,Country,mpp,jpn,sol,,1949.9541225,,33.8736995,0.0000000,0.0266438
kaz.mpp.sol,Country,mpp,kaz,sol,,1862.0000000,,18.2269115,0.0000000,
khm.mpp.sol,Country,mpp,khm,sol,,966.6666667,,,,
kor.mpp.sol,Country,mpp,kor,sol,,1139.4671916,,15.1162219,0.0000000,0.0500719
mex.mpp.sol,Country,mpp,mex,sol,,1184.5828314,,,,0.0744345
moz.mpp.sol,Country,mpp,moz,sol,,1900.0000000,,,,
mys.mpp.sol,Country,mpp,mys,sol,,,,19.6505972,0.0000000,0.0760594
nld.mpp.sol,Country,mpp,nld,sol,,1056.3082665,,17.2227660,0.0000000,
pan.mpp.sol,Country,mpp,pan,sol,,1430.0000000,,,,
per.mpp.sol,Country,mpp,per,sol,,,,,,0.0704214
phl.mpp.sol,Country,mpp,phl,sol,,,,23.5807167,0.0000000,0.0843281
rus.mpp.sol,Country,mpp,rus,sol,,1926.4017322,,18.8360800,0.0000000,
sau.mpp.sol,Country,mpp,sau,sol,,848.0528198,,12.7728882,0.0000000,
slv.mpp.sol,Country,mpp,slv,sol,,,,,,0.0992119
tha.mpp.sol,Country,mpp,tha,sol,,,,17.1942726,0.0000000,0.0677906
tur.mpp.sol,Country,mpp,tur,sol,,867.6832707,,13.5471217,0.0000000,0.0670383
ukr.mpp.sol,Country,mpp,ukr,sol,,814.6047716,,18.9530010,0.0000000,
ury.mpp.sol,Country,mpp,ury,sol,,,,15.1299774,0.0000000,0.1266300
usa.mpp.sol,Country,mpp,usa,sol,0.2523842,1230.2846359,,29.4758959,0.0000000,0.0526628
vnm.mpp.sol,Country,mpp,vnm,sol,,976.1410479,,19.6692653,0.0057969,0.0990000
zaf.mpp.sol,Country,mpp,zaf,sol,,1202.2429518,,16.8297540,0.0034389,0.1293600
arg.mpp.wnd,Country,mpp,arg,wnd,,1734.2231842,,28.7694569,0.0000000,0.1062500
aus.mpp.wnd,Country,mpp,aus,wnd,,1549.8962666,,25.5457764,0.0000000,0.0644831
bra.mpp.wnd,Country,mpp,bra,wnd,0.2625000,,,12.6608798,0.0072707,0.1210650
can.mpp.wnd,Country,mpp,can,wnd,0.4126500,2234.6152331,,27.5186964,0.0056004,0.0559125
chl.mpp.wnd,Country,mpp,chl,wnd,,1980.1018898,,21.5419672,0.0056004,0.0704214
chn.mpp.wnd,Country,mpp,chn,wnd,0.3297000,2584.8505631,,29.4758959,0.0000000,0.0583380
deu.mpp.wnd,Country,mpp,deu,wnd,0.3265500,1583.1240246,,25.5526541,0.0000000,0.0254625
dnk.mpp.wnd,Country,mpp,dnk,wnd,0.4095000,1747.0677961,,,,0.0520013
dom.mpp.wnd,Country,mpp,dom,wnd,,2287.5816993,,22.4596501,0.0067795,0.0981356
esp.mpp.wnd,Country,mpp,esp,wnd,0.4042500,1219.7189128,,23.3419619,0.0068777,0.0520013
fin.mpp.wnd,Country,mpp,fin,wnd,,1183.3578811,,19.3253799,0.0000000,
fra.mpp.wnd,Country,mpp,fra,wnd,0.3465000,1622.7272889,,9.5826137,0.0000000,0.0407558
gbr.mpp.wnd,Country,mpp,gbr,wnd,0.3444000,1743.7824906,,,,0.0548940
idn.mpp.wnd,Country,mpp,idn,wnd,,,,24.6487267,0.0056004,0.0989888
ind.mpp.wnd,Country,mpp,ind,wnd,0.3381000,,,,,0.1116938
irn.mpp.wnd,Country,mpp,irn,wnd,,1567.3700426,,41.0687657,0.0045196,
ita.mpp.wnd,Country,mpp,ita,wnd,0.3465000,1535.5806418,,66.6332102,0.0000000,0.0535434
jor.mpp.wnd,Country,mpp,jor,wnd,,2020.2020202,,23.6946902,0.0000000,
jpn.mpp.wnd,Country,mpp,jpn,wnd,0.5376000,2080.3899414,,25.2578952,0.0067795,0.0272997
kor.mpp.wnd,Country,mpp,kor,wnd,,,,27.5108361,0.0000000,0.0435120
mex.mpp.wnd,Country,mpp,mex,wnd,0.3675000,1672.1158318,,25.5457764,0.0000000,0.0926520
nld.mpp.wnd,Country,mpp,nld,wnd,,,,28.8883430,0.0068777,0.0387713
pan.mpp.wnd,Country,mpp,pan,wnd,,,,22.1324677,0.0065830,0.0818475
per.mpp.wnd,Country,mpp,per,wnd,,,,32.0678096,0.0000000,0.0605430
pol.mpp.wnd,Country,mpp,pol,wnd,,,,21.4191510,0.0000000,0.0503475
swe.mpp.wnd,Country,mpp,swe,wnd,0.3979500,1246.8713425,,,,0.0450844
tha.mpp.wnd,Country,mpp,tha,wnd,,,,29.4758959,0.0000000,0.0677906
tur.mpp.wnd,Country,mpp,tur,wnd,0.3601500,1547.2103202,,19.9011424,0.0053057,0.0694181
ukr.mpp.wnd,Country,mpp,ukr,wnd,,1651.7750000,,24.5956700,0.0060917,
usa.mpp.wnd,Country,mpp,usa,wnd,0.4364045,1317.9779457,,,,0.0582278
vnm.mpp.wnd,Country,mpp,vnm,wnd,,1685.4862230,,,,0.0990000
zaf.mpp.wnd,Country,mpp,zaf,wnd,,,,,,0.1222200
tur.mpp.wnd,Country,mpp,tur,wnd,0.3601500,1547.2103202,0.0577500,0.0945000,0.6825000,
ukr.mpp.wnd,Country,mpp,ukr,wnd,,1651.7750000,,,,
usa.mpp.wnd,Country,mpp,usa,wnd,0.4599000,1344.5380804,0.0451500,0.0945000,0.7350000,
vnm.mpp.wnd,Country,mpp,vnm,wnd,,1685.4862230,0.0900000,0.1200000,0.7000000,
zaf.mpp.wnd,Country,mpp,zaf,wnd,,,0.1155000,0.1575000,0.8400000,
srb.mpp.sol,Country,mpp,srb,sol,0.1500000,699.8096518,,,,0.1000000
srb.mpp.wnd,Country,mpp,srb,wnd,0.2300000,1212.6301646,,,,0.1000000
srb.mpp.coa,Country,mpp,srb,coa,,2071.4365693,,,,0.1000000
srb.mpp.nga,Country,mpp,srb,nga,,1007.7258986,,,,
srb.mpp.hyd,Country,mpp,srb,hyd,,2948.1581010,,,,0.0800000
