Code,Level,Item Code,CPAT World Code,CPAT Technology,CapacityFactor,CapEx.USD_kW,Efficiency.NCV,OpexFixed.USD_kW_y,OpexVariable.USD_kWh,WACC
wld.mpp.coa,World,mpp,wld,coa,0.5350000,1530.1683078,0.3435450,45.0093333,0.0045006,0.0803902
wld.mpp.nga,World,mpp,wld,nga,0.5660000,1020.9821648,0.5212902,16.0649533,0.0014800,0.0770954
wld.mpp.oil,World,mpp,wld,oil,0.1340000,1345.3799755,0.3766033,23.5250000,0.0051700,0.0775733
wld.mpp.nuc,World,mpp,wld,nuc,0.9340000,6103.7587264,0.3325505,143.7008440,0.0028058,0.0739690
wld.mpp.hyd,World,mpp,wld,hyd,0.4322928,2123.3325715,,97.4789238,0.0022438,0.0829476
wld.mpp.wnd,World,mpp,wld,wnd,0.3635128,1453.2688374,,34.5541998,0.0000000,0.0687724
wld.mpp.sol,World,mpp,wld,sol,0.1993500,1106.4716916,,19.2553128,0.0000000,0.0747791
wld.mpp.ore,World,mpp,wld,ore,0.7512025,5030.1089798,0.3814152,133.8453304,0.0003900,0.0986892
wld.mpp.bio,World,mpp,wld,bio,0.6857674,2960.6575472,0.2527459,119.6724980,0.0048212,0.0710590
wld.mpp.eys,World,mpp,wld,eys,,794.3052000,,31.4132000,0.0011219,
wld.mpp.bat,World,mpp,wld,bat,,426.0000000,,19.9097600,0.0000000,
wld.mpp.bat-int,World,mpp,wld,bat-int,,166.0412000,,0.0000000,0.0000000,
nac.mpp.bat,Region,mpp,nac,bat,0.0830000,409.8648000,,21.3364800,0.0000000,
chn.mpp.bio,Region,mpp,chn,bio,,5129.3333333,,10.3804280,0.0118886,0.0685650
eas.mpp.bio,Region,mpp,eas,bio,,,,69.0781375,0.0108471,0.0860360
ecs.mpp.bio,Region,mpp,ecs,bio,,1943.6485903,,157.1438611,0.0018668,0.0604742
jpn.mpp.bio,Region,mpp,jpn,bio,,,,245.3111783,0.0116921,0.0320460
nac.mpp.bio,Region,mpp,nac,bio,0.6250000,4345.9502467,0.2527407,149.8339921,0.0047925,
chn.mpp.coa,Region,mpp,chn,coa,,,0.4114500,17.1510413,0.0031441,0.0583380
eas.mpp.coa,Region,mpp,eas,coa,,1626.9329423,0.3868333,18.3855901,0.0050764,0.0841433
ecs.mpp.coa,Region,mpp,ecs,coa,,,0.3903500,50.3854414,0.0023908,0.0959370
jpn.mpp.coa,Region,mpp,jpn,coa,,2236.3636364,0.4325500,72.7376682,0.0047161,0.0443901
kor.mpp.coa,Region,mpp,kor,coa,,,0.4431000,21.9919659,0.0020633,0.0488040
lcn.mpp.coa,Region,mpp,lcn,coa,,1483.3292647,0.3587000,35.3710750,0.0029476,0.0704214
nac.mpp.coa,Region,mpp,nac,coa,,3121.6403141,0.3057204,60.4632466,0.0063863,0.0621802
sas.mpp.coa,Region,mpp,sas,coa,,1131.7142485,0.4220000,16.7619595,0.0016703,0.1365814
chn.mpp.hyd,Region,mpp,chn,hyd,0.5250000,864.3227430,,22.2071400,0.0000000,0.0674625
eas.mpp.hyd,Region,mpp,eas,hyd,0.4600000,1905.4785880,,20.3499620,0.0000000,0.0860360
ecs.mpp.hyd,Region,mpp,ecs,hyd,0.4500000,1261.0547879,,,,
lcn.mpp.hyd,Region,mpp,lcn,hyd,0.5445000,2044.0805566,,,,
mea.mpp.hyd,Region,mpp,mea,hyd,,1146.1314224,,,,
nac.mpp.hyd,Region,mpp,nac,hyd,0.4315997,2202.8470493,,37.1895794,0.0004585,0.0629155
sas.mpp.hyd,Region,mpp,sas,hyd,0.4410000,945.8050140,,50.3517079,0.0000000,0.1238475
ssf.mpp.hyd,Region,mpp,ssf,hyd,0.5200000,1362.1470202,,,,
chn.mpp.nga,Region,mpp,chn,nga,,,0.4510000,16.9859763,0.0049126,0.0583380
eas.mpp.nga,Region,mpp,eas,nga,,1667.0999818,0.5316667,27.9058132,0.0027020,0.0836188
ecs.mpp.nga,Region,mpp,ecs,nga,,837.4249260,0.5885000,25.9031717,0.0036599,0.0681086
jpn.mpp.nga,Region,mpp,jpn,nga,,,0.5390000,21.8740623,0.0022598,0.0443901
kor.mpp.nga,Region,mpp,kor,nga,,431.5718862,0.5500000,20.7559433,0.0024563,0.0478669
lcn.mpp.nga,Region,mpp,lcn,nga,,937.1335490,0.5353333,19.4586764,0.0055022,0.0934266
mea.mpp.nga,Region,mpp,mea,nga,,926.3074316,0.5720000,15.4827056,0.0030458,0.0816666
nac.mpp.nga,Region,mpp,nac,nga,0.5660000,1391.1345250,0.5390000,24.1633569,0.0023581,0.0598512
sas.mpp.nga,Region,mpp,sas,nga,,995.1690821,0.5060000,40.6138544,0.0010808,0.1365814
chn.mpp.nuc,Region,mpp,chn,nuc,,4141.9894565,0.3481500,98.2804971,0.0064847,0.0630084
ecs.mpp.nuc,Region,mpp,ecs,nuc,,,0.3481500,130.7393536,0.0038515,0.0822020
mea.mpp.nuc,Region,mpp,mea,nuc,,,0.3481500,102.5505719,0.0031441,0.0483798
nac.mpp.nuc,Region,mpp,nac,nuc,0.9340000,7388.0743628,0.3372505,122.7602540,0.0026497,0.0729461
chn.mpp.oil,Region,mpp,chn,oil,,1041.4816542,0.4431000,16.8494046,0.0062882,0.0758100
eas.mpp.oil,Region,mpp,eas,oil,,815.4997858,0.4536500,25.3355150,0.0076637,0.0830025
ecs.mpp.oil,Region,mpp,ecs,oil,,1056.2196021,0.4431000,22.7494964,0.0072216,0.0691950
jpn.mpp.oil,Region,mpp,jpn,oil,,1650.6501689,0.4220000,26.8938074,0.0080567,0.0495994
mea.mpp.oil,Region,mpp,mea,oil,,717.2467996,0.4536500,20.0249411,0.0067795,0.0814013
nac.mpp.oil,Region,mpp,nac,oil,0.1340000,687.7709037,0.4536500,23.0472030,0.0073690,0.0586688
sas.mpp.oil,Region,mpp,sas,oil,,815.8052800,0.4431000,33.0238112,0.0010808,0.1354238
ssf.mpp.oil,Region,mpp,ssf,oil,,2620.0000000,,,,
eas.mpp.ore,Region,mpp,eas,ore,,6823.5294118,,12.5115353,0.0100808,0.0923760
ecs.mpp.ore,Region,mpp,ecs,ore,,,,44.3238872,0.0074672,0.0732237
lcn.mpp.ore,Region,mpp,lcn,ore,,6061.8181818,,,,
nac.mpp.ore,Region,mpp,nac,ore,0.9000000,6662.4168217,,138.0066520,0.0000000,
ssf.mpp.ore,Region,mpp,ssf,ore,,2518.7961456,,63.6251950,0.0088428,0.1489149
chn.mpp.sol,Region,mpp,chn,sol,,723.0625368,,6.6762904,0.0000000,0.0713475
eas.mpp.sol,Region,mpp,eas,sol,,1109.3910957,,16.7401800,0.0000000,0.0844188
ecs.mpp.sol,Region,mpp,ecs,sol,,922.3299399,,11.7862645,0.0000000,0.0408341
jpn.mpp.sol,Region,mpp,jpn,sol,,1949.9541225,,40.6138544,0.0000000,0.0266438
kor.mpp.sol,Region,mpp,kor,sol,,1139.4671916,,33.8736995,0.0000000,0.0500719
lcn.mpp.sol,Region,mpp,lcn,sol,,1377.1721208,,19.0137214,0.0000000,0.0953307
mea.mpp.sol,Region,mpp,mea,sol,,1189.2638079,,18.1345537,0.0000000,0.0564211
nac.mpp.sol,Region,mpp,nac,sol,0.2523842,1253.3465465,,16.7861813,0.0000000,0.0520839
sas.mpp.sol,Region,mpp,sas,sol,,562.7024376,,6.1604622,0.0000000,0.1083600
ssf.mpp.sol,Region,mpp,ssf,sol,,1551.1214759,,15.1299774,0.0000000,0.1293600
chn.mpp.wnd,Region,mpp,chn,wnd,0.3297000,1809.4816959,,12.6608798,0.0072707,0.0583380
eas.mpp.wnd,Region,mpp,eas,wnd,,1608.7140474,,22.7408993,0.0027756,0.0827383
ecs.mpp.wnd,Region,mpp,ecs,wnd,0.3669750,1381.1474701,,24.2761513,0.0050699,0.0481249
jpn.mpp.wnd,Region,mpp,jpn,wnd,0.5376000,2080.3899414,,41.0687657,0.0045196,0.0272997
kor.mpp.wnd,Region,mpp,kor,wnd,,,,66.6332102,0.0000000,0.0435120
lcn.mpp.wnd,Region,mpp,lcn,wnd,0.3150000,1760.0558948,,25.4398036,0.0004913,0.0902133
mea.mpp.wnd,Region,mpp,mea,wnd,,1793.7860314,,,,
nac.mpp.wnd,Region,mpp,nac,wnd,0.4284863,1440.7262044,,33.7484509,0.0000000,0.0570701
sas.mpp.wnd,Region,mpp,sas,wnd,0.3381000,892.0597173,,9.5826137,0.0000000,0.1116938
ssf.mpp.wnd,Region,mpp,ssf,wnd,,1650.5218655,,24.5956700,0.0060917,0.1222200
usa.mpp.bat,Country,mpp,usa,bat,0.0830000,409.8648000,,10.3804280,0.0118886,
chn.mpp.bio,Country,mpp,chn,bio,,5129.3333333,,182.9745712,0.0021616,0.0685650
esp.mpp.bio,Country,mpp,esp,bio,,2244.7772451,,64.3733915,0.0007860,0.0532156
fin.mpp.bio,Country,mpp,fin,bio,,,,,,0.0603971
fra.mpp.bio,Country,mpp,fra,bio,,1642.5199355,,224.0836207,0.0026528,
gbr.mpp.bio,Country,mpp,gbr,bio,,,,66.4258964,0.0104148,0.0678101
idn.mpp.bio,Country,mpp,idn,bio,,,,245.3111783,0.0116921,0.0970594
jpn.mpp.bio,Country,mpp,jpn,bio,,,,59.6434928,0.0092358,0.0320460
mys.mpp.bio,Country,mpp,mys,bio,,,,71.5743529,0.0112991,0.0760594
phl.mpp.bio,Country,mpp,phl,bio,,,,74.5347154,0.0117904,0.0857063
tha.mpp.bio,Country,mpp,tha,bio,,,,73.2122302,0.0114956,0.0677906
usa.mpp.bio,Country,mpp,usa,bio,0.6250000,4345.9502467,0.4009000,31.9833121,0.0021616,
vnm.mpp.bio,Country,mpp,vnm,bio,,,,,,0.1028475
aus.mpp.coa,Country,mpp,aus,coa,,,0.3587000,35.3710750,0.0029476,0.1290400
bra.mpp.coa,Country,mpp,bra,coa,,1483.3292647,0.4114500,17.1510413,0.0031441,
chl.mpp.coa,Country,mpp,chl,coa,,,0.3798000,56.7469947,0.0021616,0.0704214
chn.mpp.coa,Country,mpp,chn,coa,,,0.3798000,14.1160065,0.0052074,0.0583380
grc.mpp.coa,Country,mpp,grc,coa,,,0.4220000,16.7619595,0.0016703,0.0732698
idn.mpp.coa,Country,mpp,idn,coa,,1157.6719577,0.4325500,72.7376682,0.0047161,0.0925969
ind.mpp.coa,Country,mpp,ind,coa,,1131.7142485,0.4431000,21.9919659,0.0020633,0.1365814
jpn.mpp.coa,Country,mpp,jpn,coa,,2236.3636364,0.4009000,14.4539968,0.0048144,0.0443901
kor.mpp.coa,Country,mpp,kor,coa,,,0.3798000,14.8057425,0.0055022,0.0488040
mys.mpp.coa,Country,mpp,mys,coa,,,0.3481500,58.9940405,0.0036354,0.0719250
phl.mpp.coa,Country,mpp,phl,coa,,1340.5797101,0.3798000,19.1819305,0.0069760,0.0719250
pol.mpp.coa,Country,mpp,pol,coa,,,0.4431000,35.4152889,0.0013755,0.1050000
tha.mpp.coa,Country,mpp,tha,coa,,1958.3333333,,,,0.0677906
tur.mpp.coa,Country,mpp,tur,coa,,,0.3587000,49.1264931,0.0049126,0.1011924
twn.mpp.coa,Country,mpp,twn,coa,,2337.5000000,0.3798000,15.7725519,0.0057969,
usa.mpp.coa,Country,mpp,usa,coa,,3121.6403141,,,,0.0621802
vnm.mpp.coa,Country,mpp,vnm,coa,,,,,,0.1011938
bol.mpp.hyd,Country,mpp,bol,hyd,,2159.4202899,,12.1784576,0.0000000,
bra.mpp.hyd,Country,mpp,bra,hyd,0.4935000,1757.8754323,,22.2071400,0.0000000,
can.mpp.hyd,Country,mpp,can,hyd,,,,,,0.0610336
chn.mpp.hyd,Country,mpp,chn,hyd,0.5250000,864.3227430,,18.5334608,0.0000000,0.0674625
ecu.mpp.hyd,Country,mpp,ecu,hyd,,2804.3478261,,50.3517079,0.0000000,
idn.mpp.hyd,Country,mpp,idn,hyd,,,,,,0.0970594
ind.mpp.hyd,Country,mpp,ind,hyd,0.4410000,945.8050140,,18.4332427,0.0000000,0.1238475
lao.mpp.hyd,Country,mpp,lao,hyd,,1927.8996865,,,,
mys.mpp.hyd,Country,mpp,mys,hyd,,,,19.3804015,0.0000000,0.0760594
per.mpp.hyd,Country,mpp,per,hyd,,2253.3435037,,24.1594268,0.0000000,
phl.mpp.hyd,Country,mpp,phl,hyd,,,,36.1305706,0.0013755,0.0857063
tha.mpp.hyd,Country,mpp,tha,hyd,,,,21.2432782,0.0000000,0.0677906
usa.mpp.hyd,Country,mpp,usa,hyd,0.3431994,2528.2494068,0.5940000,9.9942938,0.0029476,0.0647973
vnm.mpp.hyd,Country,mpp,vnm,hyd,,,0.5500000,7.2481228,0.0043231,0.1028475
are.mpp.nga,Country,mpp,are,nga,,,,,,0.0758363
aus.mpp.nga,Country,mpp,aus,nga,,1404.7619048,,,,0.0915731
bgd.mpp.nga,Country,mpp,bgd,nga,,995.1690821,0.5500000,20.2253772,0.0030458,
bol.mpp.nga,Country,mpp,bol,nga,,994.7368421,0.5390000,34.9643077,0.0022598,
bra.mpp.nga,Country,mpp,bra,nga,,,0.5280000,24.1554967,0.0024563,0.1172063
can.mpp.nga,Country,mpp,can,nga,,1728.5714286,0.4510000,16.9859763,0.0049126,0.0610336
chl.mpp.nga,Country,mpp,chl,nga,,,0.5940000,22.5038640,0.0033406,0.0704214
chn.mpp.nga,Country,mpp,chn,nga,,,,,,0.0583380
deu.mpp.nga,Country,mpp,deu,nga,,,,,,0.0659186
dza.mpp.nga,Country,mpp,dza,nga,,986.1932939,0.5940000,20.8669692,0.0031441,
egy.mpp.nga,Country,mpp,egy,nga,,1230.7692308,0.5940000,30.2452168,0.0036354,
fra.mpp.nga,Country,mpp,fra,nga,,,0.5280000,26.4339834,0.0020633,0.0680530
gbr.mpp.nga,Country,mpp,gbr,nga,,423.8541738,0.5060000,40.6138544,0.0010808,0.0711047
idn.mpp.nga,Country,mpp,idn,nga,,,,,,0.1091344
ind.mpp.nga,Country,mpp,ind,nga,,,,,,0.1365814
irn.mpp.nga,Country,mpp,irn,nga,,761.1515692,,,,
irq.mpp.nga,Country,mpp,irq,nga,,833.4000000,0.5500000,20.9711174,0.0031441,
isr.mpp.nga,Country,mpp,isr,nga,,1689.1891892,0.5390000,21.8740623,0.0022598,
jor.mpp.nga,Country,mpp,jor,nga,,,0.5500000,20.7559433,0.0024563,0.0873856
jpn.mpp.nga,Country,mpp,jpn,nga,,,,,,0.0443901
kor.mpp.nga,Country,mpp,kor,nga,,431.5718862,0.5280000,13.9951554,0.0110043,0.0478669
kwt.mpp.nga,Country,mpp,kwt,nga,,868.0000000,0.5280000,26.5951183,0.0024563,
mex.mpp.nga,Country,mpp,mex,nga,,772.9028936,0.5280000,36.4508754,0.0021616,0.0926520
mys.mpp.nga,Country,mpp,mys,nga,,,,,,0.0719250
phl.mpp.nga,Country,mpp,phl,nga,,,,,,0.0719250
png.mpp.nga,Country,mpp,png,nga,,1724.1379310,,,,
qat.mpp.nga,Country,mpp,qat,nga,,1269.8412698,0.5280000,35.1401805,0.0028493,
rus.mpp.nga,Country,mpp,rus,nga,,1044.2103021,,,,
tha.mpp.nga,Country,mpp,tha,nga,,1696.4285714,0.5720000,29.9966367,0.0045196,0.0677906
tun.mpp.nga,Country,mpp,tun,nga,,360.2899194,,,,
tur.mpp.nga,Country,mpp,tur,nga,,,0.5390000,13.3624061,0.0024563,0.0671168
ury.mpp.nga,Country,mpp,ury,nga,,1372.2222222,0.5280000,35.5665985,0.0023581,
usa.mpp.nga,Country,mpp,usa,nga,0.5660000,1053.6976214,0.3481500,102.5505719,0.0031441,0.0586688
vnm.mpp.nga,Country,mpp,vnm,nga,,,0.3481500,119.2437542,0.0036354,0.1011938
are.mpp.nuc,Country,mpp,are,nuc,,,0.3481500,98.2804971,0.0064847,0.0483798
blr.mpp.nuc,Country,mpp,blr,nuc,,,0.3481500,128.9649047,0.0039301,0.0471398
chn.mpp.nuc,Country,mpp,chn,nuc,,4141.9894565,0.3481500,133.4629264,0.0033406,0.0630084
fin.mpp.nuc,Country,mpp,fin,nuc,,,0.3481500,127.9509339,0.0039301,0.0727739
fra.mpp.nuc,Country,mpp,fra,nuc,,,0.3481500,144.0742489,0.0044214,0.1050000
gbr.mpp.nuc,Country,mpp,gbr,nuc,,,0.3481500,100.5481760,0.0029476,0.0945000
tur.mpp.nuc,Country,mpp,tur,nuc,,,0.4536500,25.3355150,0.0076637,0.0168000
usa.mpp.nuc,Country,mpp,usa,nuc,0.9340000,7388.0743628,,,,0.0729461
aus.mpp.oil,Country,mpp,aus,oil,,815.4997858,0.4431000,16.8494046,0.0062882,0.0830025
bgd.mpp.oil,Country,mpp,bgd,oil,,796.4601770,0.4431000,22.6443657,0.0071725,
chn.mpp.oil,Country,mpp,chn,oil,,1041.4816542,0.4431000,22.8546271,0.0072707,0.0758100
deu.mpp.oil,Country,mpp,deu,oil,,854.8009803,0.4431000,33.0238112,0.0010808,0.0691950
gbr.mpp.oil,Country,mpp,gbr,oil,,1257.6382239,0.4536500,20.0249411,0.0067795,0.0691950
ind.mpp.oil,Country,mpp,ind,oil,,835.1503831,0.4220000,26.8938074,0.0080567,0.1354238
jor.mpp.oil,Country,mpp,jor,oil,,717.2467996,,,,0.0814013
jpn.mpp.oil,Country,mpp,jpn,oil,,1650.6501689,0.4536500,23.0472030,0.0073690,0.0495994
